BASIC,BASIC,BASIC,BASIC,BASIC,BASE,BASE,BASE,BASE,BASE,BASE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE
Rk,Player,Tm,Pos,G,ATT,YDS,YPC,TD,FUM,FUML,SNP,SNP%,ATT%,TCH,TCH%,OPP,OPP%,rATT%,rTCH%,rOPP%,ATT/G,TCH/G
,Jaleel McLaughlin,DEN,RB,1,2,4,2,0,0,0,6,8.955,6.452,2,3.704,2,3.077,8.333,4.255,3.448,2,2
,Sam Darnold,SEA,QB,1,4,4,1,0,1,0,61,100,18.182,4,9.091,4,6.78,0,0,0,4,4
,Connor Heyward,PIT,TE,1,4,4,1,1,0,0,4,6.452,12.5,4,7.273,4,6.452,12.5,7.273,6.452,4,4
,Kaleb Johnson,PIT,RB,1,2,4,2,0,0,0,2,3.226,6.25,2,3.636,2,3.226,6.25,3.636,3.226,2,2
,Troy Franklin,DEN,WR,1,1,3,3,0,0,0,32,47.761,3.226,7,12.963,7,10.769,4.167,14.894,12.069,1,7
,Emanuel Wilson,GB,RB,1,2,3,1.5,0,0,0,11,16.667,10,2,4.545,2,3.175,11.765,4.878,3.333,2,2
,Harold Fannin Jr.,CLV,TE,1,1,2,2,0,0,0,55,94.828,6.25,8,23.529,8,14.286,7.143,25,14.815,1,8
,Dare Ogunbowale,HST,RB,1,5,2,0.4,0,0,0,20,30.769,15.152,8,14.545,8,12.698,18.519,16.327,14.035,5,8
,Matthew Stafford,LA,QB,1,1,2,2,0,0,0,70,100,3.448,1,1.887,1,1.449,0,0,0,1,1
,Taysom Hill,NO,QB,1,2,2,1,0,0,0,15,22.727,8,2,4.082,2,3.175,0,0,0,2,2
,Cam Ward,TEN,QB,1,1,2,2,0,0,0,49,100,5,1,2.632,1,2.041,0,0,0,1,1
,Dak Prescott,DAL,QB,1,1,2,2,0,0,0,68,98.551,3.448,1,1.923,1,1.449,0,0,0,1,1
,KaVontae Turpin,DAL,WR,1,1,2,2,0,0,0,14,20.29,3.448,3,5.769,3,4.348,3.571,5.882,4.412,1,3
,Jaylen Wright,MIA,RB,1,1,2,2,0,0,0,4,8.163,6.25,2,5.263,2,4.167,6.667,5.263,4.167,1,2
,Baker Mayfield,TB,QB,1,1,1,1,0,0,0,62,100,4.545,1,2.439,1,1.639,0,0,0,1,1
,Emari Demercado,ARZ,RB,1,1,1,1,0,0,0,7,10.938,4.762,3,6.25,3,4.762,5.556,6.667,5,1,3
,Brashard Smith,KC,RB,1,2,1,0.5,0,0,0,3,4.918,9.524,2,5,2,3.39,10.526,5.263,3.509,2,2
,Tua Tagovailoa,MIA,QB,1,1,1,1,0,0,0,49,100,6.25,1,2.632,1,2.083,0,0,0,1,1
,Justin Herbert,LAC,QB,1,2,0,0,0,0,0,62,100,6.897,2,4.167,2,3.226,0,0,0,2,2
,Bo Melton,GB,CB,1,1,0,0,0,0,0,9,13.636,5,1,2.273,1,1.587,5.882,2.439,1.667,1,1
,Ollie Gordon II,MIA,RB,1,2,0,0,0,0,0,5,10.204,12.5,2,5.263,2,4.167,13.333,5.405,4.255,2,2
,Adam Prentice,DEN,FB,1,1,-1,-1,0,0,0,14,20.896,3.226,1,1.852,1,1.538,4.167,2.128,1.724,1,1
,Bam Knight,ARZ,RB,1,1,-2,-2,0,0,0,1,1.563,4.762,1,2.083,1,1.587,5.556,2.222,1.667,1,1
,Nick Mullens,JAX,QB,1,3,-2,-0.667,0,0,0,8,12.698,11.111,3,6.383,3,5.085,0,0,0,3,3
,Jalen Nailor,MIN,WR,1,1,-2,-2,0,0,0,26,48.148,3.571,4,9.302,4,7.692,4.167,10.256,8.333,1,4
,Tyler Huntley,BLT,QB,1,3,-3,-1,0,0,0,5,11.905,12.5,3,9.375,3,7.5,0,0,0,3,3
,Rashid Shaheed,SEA,WR,1,1,-3,-3,0,0,0,38,62.295,4.545,6,13.636,6,10.169,5.556,15,10.909,1,6
,Mason Tipton,NO,WR,1,1,-4,-4,0,1,0,49,74.242,4,2,4.082,2,3.175,6.667,5.128,3.774,1,2
,Chimere Dike,TEN,WR,1,1,-7,-7,0,0,0,37,75.51,5,5,13.158,5,10.204,5.263,13.514,10.417,1,5
