BASIC,BASIC,BASIC,BASIC,BASIC,BASE,BASE,BASE,BASE,ALIGNMENT,ALIGNMENT,ALIGNMENT,ALIGNMENT,ALIGNMENT,ALIGNMENT,ALIGNMENT,ALIGNMENT,ALIGNMENT,ALIGNMENT,ALIGNMENT,ALIGNMENT,ALIGNMENT,ALIGNMENT,ALIGNMENT
Rk,Player,Tm,Pos,G,TAR,REC,YDS,TD,WIDE,OW%,WYPR,SLOT,SLOT%,SYPR,BACK,BACK%,BYPR,LINE,LINE%,IYPR,OFF,OFF%,OYPR
,Jalin  Hyatt,NYG,WR,1,5,3,17,0,14,87.5,1.214,2,12.5,0,0,0,0,0,0,0,0,0,0
,Courtland  Sutton,DEN,WR,1,3,1,17,0,25,86.207,0.68,4,13.793,0,0,0,0,0,0,0,0,0,0
,Mo  Alie-Cox,IND,TE,1,2,1,16,0,0,0,0,1,5.882,0,0,0,0,12,70.588,1.333,4,23.529,0
,Samaje  Perine,CIN,RB,1,3,2,16,0,0,0,0,0,0,0,18,85.714,0.889,0,0,0,3,14.286,0
,Travis  Hunter,JAX,WR,1,7,4,15,0,15,35.714,0.333,22,52.381,-0.182,5,11.905,2.8,0,0,0,0,0,0
,Gunnar  Helm,TEN,TE,1,3,2,15,0,0,0,0,8,50,1.875,0,0,0,5,31.25,0,3,18.75,0
,Dontayvion  Wicks,GB,WR,1,2,2,15,0,5,50,3,5,50,0,0,0,0,0,0,0,0,0,0
,Juwan  Johnson,NO,TE,1,2,2,15,0,2,8.333,0,10,41.667,0,0,0,0,8,33.333,0,4,16.667,3.75
,Deebo  Samuel Sr.,WAS,WR,1,5,4,15,0,13,50,0.615,12,46.154,0.583,0,0,0,0,0,0,1,3.846,0
,Jonathan  Taylor,IND,RB,1,4,4,14,0,2,6.667,0,1,3.333,0,27,90,0.519,0,0,0,0,0,0
,Johnny  Mundt,JAX,TE,1,2,1,14,0,1,5.882,0,2,11.765,0,0,0,0,5,29.412,0,9,52.941,1.556
,Bhayshul  Tuten,JAX,RB,1,3,2,14,0,0,0,0,0,0,0,7,100,2,0,0,0,0,0,0
,Kimani  Vidal,LAC,RB,1,4,3,14,1,0,0,0,0,0,0,25,100,0.56,0,0,0,0,0,0
,Kenneth  Gainwell,PIT,RB,1,6,6,14,0,1,7.692,0,1,7.692,4,8,61.538,0.375,0,0,0,3,23.077,2.333
,Garrett  Wilson,NYJ,WR,1,8,3,13,0,12,54.545,0,8,36.364,1.375,0,0,0,0,0,0,2,9.091,1
,Dyami  Brown,JAX,WR,1,5,2,13,0,24,70.588,0.542,10,29.412,0,0,0,0,0,0,0,0,0,0
,Zach  Charbonnet,SEA,RB,1,1,1,13,0,0,0,0,1,5.882,0,16,94.118,0.813,0,0,0,0,0,0
,Jerome  Ford,CLV,RB,1,6,5,13,0,0,0,0,0,0,0,25,86.207,0.52,0,0,0,4,13.793,0
,Jamari  Thrash,CLV,WR,1,3,2,13,0,13,54.167,1,11,45.833,0,0,0,0,0,0,0,0,0,0
,Tony  Pollard,TEN,RB,1,2,2,13,0,0,0,0,0,0,0,15,100,0.867,0,0,0,0,0,0
,Cam  Skattebo,NYG,RB,1,2,2,12,0,2,12.5,0,1,6.25,4,13,81.25,0.615,0,0,0,0,0,0
,Darren  Waller,MIA,TE,1,3,2,12,1,13,43.333,0.538,12,40,0,1,3.333,0,2,6.667,2.5,2,6.667,0
,Dylan  Sampson,CLV,RB,1,2,2,12,0,2,22.222,4,0,0,0,6,66.667,0.667,0,0,0,1,11.111,0
,Roman  Wilson,PIT,WR,1,1,1,12,0,3,37.5,4,5,62.5,0,0,0,0,0,0,0,0,0,0
