BASIC,BASIC,BASIC,BASIC,BASIC,USAGE,USAGE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,RED ZONE,RED ZONE,RED ZONE,ANALYTICS,ANALYTICS,ANALYTICS,ANALYTICS,FANTASY,FANTASY
Rk,Player,Tm,Pos,G,SNP,SNP%,ATT,YDS,YPC,TD,FUM,FUML,FD,RZ,GL,GL TD,EPA,EPA/ATT,DYAR,DVOA,FPTS,PPG
,Mark  Andrews,BLT,TE,1,28,48.276,2,4,2,0,0,0,2,1,1,0,1.292,0.646,11.278,19.57,33.2,33.2
,Andrei  Iosivas,CIN,WR,1,56,86.154,1,4,4,0,0,0,0,0,0,0,-0.151,-0.151,-0.239,-43.64,36,36
,Mac  Jones,SF,QB,1,66,98.507,4,4,1,0,0,0,1,1,1,0,0.917,0.229,-1.168,-27.88,35.6,35.6
,Daniel  Jones,IND,QB,1,75,100,3,4,1.333,1,1,0,2,1,1,1,4.534,1.511,5.389,18.68,36.16,36.16
,Connor  Heyward,PIT,TE,1,3,4.839,1,4,4,0,0,0,1,1,0,0,1.606,1.606,2.673,-13.94,0.8,0.8
,Kaleb  Johnson,PIT,RB,1,5,8.065,1,4,4,0,0,0,0,0,0,0,-0.133,-0.133,0.489,5.59,4.6,4.6
,Dyami  Brown,JAX,WR,1,43,53.086,1,4,4,0,0,0,0,1,0,0,0.224,0.224,7.368,101.58,11.8,11.8
,Jacoby  Brissett,ARZ,QB,1,66,100,5,4,0.8,1,1,0,1,1,1,1,0.061,0.012,-9.507,-65.84,49.68,49.68
,Ameer  Abdullah,IND,RB,1,5,6.667,1,3,3,0,0,0,0,0,0,0,-0.263,-0.263,-0.304,-17.43,3,3
,Puka  Nacua,LA,WR,1,38,49.351,1,3,3,0,0,0,1,1,0,0,2.011,2.011,8.134,36.41,45.6,45.6
,Deebo  Samuel Sr.,WAS,WR,1,41,57.746,1,3,3,0,0,0,0,0,0,0,-0.319,-0.319,-0.142,-41.66,18.8,18.8
,KaVontae  Turpin,DAL,WR,1,11,15.942,1,3,3,0,0,0,0,0,0,0,-0.128,-0.128,-0.608,-52.37,6.6,6.6
,Justice  Hill,BLT,RB,1,11,18.966,1,2,2,0,0,0,0,0,0,0,-0.538,-0.538,-2.892,-106.38,7,7
,Adam  Prentice,DEN,FB,1,10,16.129,1,2,2,0,0,0,1,0,0,0,-0.216,-0.216,0.163,-6.7,0.4,0.4
,Tyler  Shough,NO,QB,1,36,90,1,2,2,0,0,0,0,0,0,0,-0.315,-0.315,-2.98,-67.59,18.48,18.48
,Tua  Tagovailoa,MIA,QB,1,63,100,1,1,1,0,0,0,0,0,0,0,-1.433,-1.433,0,0,17.08,17.08
,Tahj  Brooks,CIN,RB,1,2,3.077,1,1,1,0,0,0,0,0,0,0,-0.466,-0.466,-6.535,-123.97,0.2,0.2
,Jordan  Love,GB,QB,1,63,100,1,1,1,0,0,0,0,0,0,0,-0.524,-0.524,-5.188,-101.5,18.04,18.04
,AJ  Barner,SEA,TE,1,41,85.417,1,1,1,1,0,0,1,1,1,1,1.222,1.222,19.954,"36,040",23,23
,Savion  Williams,GB,WR,1,19,30.159,1,0,0,0,1,1,0,1,0,0,-5.292,-5.292,-25.217,-495.39,6.4,6.4
,Aaron  Rodgers,PIT,QB,1,62,100,2,0,0,0,0,0,0,1,1,0,-0.729,-0.365,0,0,24.24,24.24
,Jeremy  McNichols,WAS,RB,1,15,21.127,1,0,0,0,0,0,0,0,0,0,-1.715,-1.715,-5.771,-90.38,0,0
,Joe  Flacco,CIN,QB,1,65,100,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,61.4,61.4
,Kenneth  Gainwell,PIT,RB,1,22,35.484,3,-1,-0.333,0,0,0,1,1,0,0,-0.047,-0.016,-8.691,-73.56,14.8,14.8
,Jaylin  Noel,HST,WR,1,11,14.667,1,-3,-3,0,0,0,0,1,0,0,-0.786,-0.786,-5.767,-143.84,-0.6,-0.6
,Troy  Franklin,DEN,WR,1,50,80.645,2,-4,-2,0,0,0,1,0,0,0,-1.053,-0.527,-5.688,-76.67,12.6,12.6
,Matthew  Stafford,LA,QB,1,77,100,4,-4,-1,0,0,0,0,0,0,0,-3.128,-0.782,0,0,53.68,53.68
