BASIC,BASIC,BASIC,BASIC,BASIC,BASE,BASE,BASE,BASE,BASE,BASE,BASE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE
Rk,Player,Tm,Pos,G,TAR,REC,YDS,TD,TAR/G,REC/G,YDS/G,SNP,SNP%,RT,RT%,TAR%,FRD,FRDR,FRD%,OPP,OPP%
,Drew Sample,CIN,TE,1,2,2,31,0,2,2,31,41,66.129,17,48.571,5.714,1,50,2.778,2,3.279
,Colston Loveland,CHI,TE,1,4,3,30,0,4,3,30,50,79.365,30,88.235,11.765,3,75,8.108,4,6.667
,Treylon Burks,WAS,WR,1,5,2,30,0,5,2,30,41,80.392,22,88,20,3,60,12,5,9.804
,Chris Godwin Jr.,TB,WR,1,6,5,30,0,6,5,30,39,61.905,25,89.286,21.429,4,66.667,13.333,6,9.836
,Tyler Warren,IND,TE,1,9,3,30,0,9,3,30,51,87.931,35,92.105,23.684,8,88.889,21.053,9,15.517
,Quinshon Judkins,CLV,RB,1,6,5,29,0,6,5,29,24,35.294,13,39.394,18.182,0,0,0,14,21.875
,Mason Tipton,NO,WR,1,5,4,29,0,5,4,29,39,48.75,28,52.83,9.434,3,60,5.455,6,7.692
,Christian McCaffrey,SF,RB,1,8,6,29,2,8,6,29,53,79.104,30,85.714,22.857,4,50,11.111,29,43.939
,Will Dissly,LAC,TE,1,3,3,28,0,3,3,28,13,19.697,9,31.034,10.345,1,33.333,3.03,3,4.839
,Rhamondre Stevenson,NE,RB,1,3,2,27,0,3,2,27,56,75.676,41,85.417,6.25,0,0,0,11,15.493
,Trey McBride,ARZ,TE,1,8,4,27,0,8,4,27,54,96.429,32,96.97,24.242,5,62.5,15.152,8,14.286
,Drake London,ATL,WR,1,8,3,27,0,8,3,27,51,69.863,30,83.333,22.222,4,50,11.111,8,10.959
,Kendrick Bourne,SF,WR,1,5,3,27,0,5,3,27,46,68.657,28,80,14.286,3,60,8.333,5,7.576
,Jackson Hawes,BUF,TE,1,2,2,26,0,2,2,26,30,57.692,10,47.619,9.524,0,0,0,2,4
,Jordan Addison,MIN,WR,1,3,2,26,0,3,2,26,42,70,22,81.481,11.111,2,66.667,6.897,3,5.172
,Marvin Mims Jr.,DEN,WR,1,3,3,26,0,3,3,26,21,31.818,15,31.25,6.25,1,33.333,2.041,4,6.154
,Isaiah Williams,NYJ,WR,1,4,4,25,0,4,4,25,48,75,35,81.395,9.302,1,25,2.273,4,6.349
,Van Jefferson,TEN,WR,1,2,2,24,0,2,2,24,49,69.014,26,86.667,6.667,2,100,6.452,2,2.857
,Darnell Mooney,ATL,WR,1,2,2,24,0,2,2,24,50,68.493,30,83.333,5.556,0,0,0,2,2.74
,Mitchell Evans,CAR,TE,1,3,3,23,0,3,3,23,15,26.786,9,26.471,8.824,0,0,0,3,5.556
,Malik Washington,MIA,WR,1,1,1,23,0,1,1,23,30,50.847,19,63.333,3.333,0,0,0,2,3.448
,Demarcus Robinson,SF,WR,1,2,2,23,1,2,2,23,29,43.284,20,57.143,5.714,1,50,2.778,2,3.03
,Skyy Moore,SF,WR,1,1,1,23,0,1,1,23,7,10.448,3,8.571,2.857,1,100,2.778,1,1.515
,Zach Charbonnet,SEA,RB,1,4,4,22,0,4,4,22,34,52.308,22,57.895,10.526,0,0,0,13,20.635
,Marquise Brown,KC,WR,1,3,3,22,0,3,3,22,23,50,17,60.714,10.714,0,0,0,3,6.977
,Colby Parkinson,LA,TE,1,4,2,21,0,4,2,21,75,83.333,37,75.51,8.163,2,50,3.922,4,4.545
,Jahdae Walker,CHI,WR,1,3,2,21,1,3,2,21,16,25.397,9,26.471,8.824,2,66.667,5.405,3,5
,Mark Andrews,BLT,TE,1,3,2,21,0,3,2,21,23,41.818,12,57.143,14.286,0,0,0,4,7.407
,Tyrell Shavers,BUF,WR,1,2,1,21,0,2,1,21,27,51.923,13,61.905,9.524,2,100,8.696,2,4
,Andrei Iosivas,CIN,WR,1,1,1,21,0,1,1,21,31,50,16,45.714,2.857,1,100,2.778,1,1.639
,Ray Davis,BUF,RB,1,2,2,20,0,2,2,20,6,11.538,3,14.286,9.524,0,0,0,5,10
,Shane Zylstra,DET,TE,1,5,3,20,0,5,3,20,44,63.768,39,68.421,8.772,3,60,5.263,5,7.246
,Pat Freiermuth,PIT,TE,1,4,4,20,0,4,4,20,29,40.278,21,48.837,9.302,2,50,4.444,4,5.714
,Jordan Whittington,LA,WR,1,1,1,19,0,1,1,19,14,15.556,4,8.163,2.041,1,100,1.961,1,1.136
,Jake Ferguson,DAL,TE,1,4,3,19,0,4,3,19,38,64.407,27,81.818,12.121,3,75,8.333,4,7.143
,Josh Oliver,MIN,TE,1,3,2,19,0,3,2,19,29,48.333,8,29.63,11.111,1,33.333,3.448,3,5.172
,Wan'Dale Robinson,NYG,WR,1,6,3,19,0,6,3,19,47,95.918,17,94.444,33.333,3,50,15.789,7,14.583
,Xavier Weaver,ARZ,WR,1,2,2,19,0,2,2,19,25,44.643,11,33.333,6.061,1,50,3.03,2,3.571
,Scott Miller,PIT,WR,1,3,3,19,0,3,3,19,15,20.833,13,30.233,6.977,2,66.667,4.444,3,4.286
,Charlie Kolar,BLT,TE,1,1,1,18,0,1,1,18,26,47.273,5,23.81,4.762,0,0,0,1,1.852
,Ryan Flournoy,DAL,WR,1,2,2,18,1,2,2,18,22,37.288,13,39.394,6.061,1,50,2.778,2,3.571
,Kevin Austin Jr.,NO,WR,1,3,2,18,0,3,2,18,65,81.25,45,84.906,5.66,2,66.667,3.636,3,3.846
,Brian Thomas Jr.,JAX,WR,1,3,2,18,0,3,2,18,51,72.857,35,85.366,7.317,2,66.667,4.651,3,4.412
,Jaylen Wright,MIA,RB,1,2,1,18,0,2,1,18,18,30.508,9,30,6.667,0,0,0,11,18.966
,Christian Watson,GB,WR,1,6,2,17,0,6,2,17,41,54.667,20,76.923,23.077,4,66.667,12.903,6,8.571
,James Cook,BUF,RB,1,2,1,17,0,2,1,17,28,53.846,9,42.857,9.524,2,100,8.696,18,36
,Audric Estimé,NO,RB,1,4,3,17,0,4,3,17,43,53.75,34,64.151,7.547,0,0,0,9,11.538
,Jayden Higgins,HST,WR,1,3,1,17,0,3,1,17,35,56.452,22,62.857,8.571,3,100,8.333,3,4.918
,Jawhar Jordan,HST,RB,1,5,5,17,0,5,5,17,28,45.161,12,34.286,14.286,1,20,2.778,20,32.787
,Kayshon Boutte,NE,WR,1,3,1,16,0,3,1,16,41,55.405,34,70.833,6.25,1,33.333,1.961,3,4.225
,Travis Etienne,JAX,RB,1,5,4,16,1,5,4,16,47,67.143,25,60.976,12.195,0,0,0,21,30.882
,Samaje Perine,CIN,RB,1,3,2,16,0,3,2,16,24,38.71,14,40,8.571,0,0,0,10,16.393
,Mo Alie-Cox,IND,TE,1,2,2,16,0,2,2,16,13,22.414,5,13.158,5.263,1,50,2.632,2,3.448
,Kyren Williams,LA,RB,1,6,3,15,0,6,3,15,62,68.889,37,75.51,12.245,0,0,0,29,32.955
,Cade Otton,TB,TE,1,2,2,15,0,2,2,15,56,88.889,25,89.286,7.143,2,100,6.667,2,3.279
,Jalen McMillan,TB,WR,1,3,2,15,0,3,2,15,36,57.143,20,71.429,10.714,1,33.333,3.333,4,6.557
,Rachaad White,TB,RB,1,2,2,15,0,2,2,15,20,31.746,11,39.286,7.143,0,0,0,7,11.475
,Cole Kmet,CHI,TE,1,3,2,14,0,3,2,14,46,73.016,27,79.412,8.824,2,66.667,5.405,3,5
,Rico Dowdle,CAR,RB,1,6,4,14,0,6,4,14,30,53.571,20,58.824,17.647,1,16.667,2.778,15,27.778
,KaVontae Turpin,DAL,WR,1,4,2,14,0,4,2,14,17,28.814,9,27.273,12.121,2,50,5.556,6,10.714
,Hunter Luepke,DAL,FB,1,2,1,14,0,2,1,14,8,13.559,5,15.152,6.061,1,50,2.778,3,5.357
,Jeremy Ruckert,NYJ,TE,1,3,2,14,0,3,2,14,41,64.063,24,55.814,6.977,1,33.333,2.273,3,4.762
,Marvin Harrison Jr.,ARZ,WR,1,3,1,14,0,3,1,14,27,48.214,20,60.606,9.091,2,66.667,6.061,3,5.357
,Adam Trautman,DEN,TE,1,3,2,14,0,3,2,14,36,54.545,21,43.75,6.25,2,66.667,4.082,3,4.615
,Blake Corum,LA,RB,1,2,1,13,0,2,1,13,26,28.889,12,24.49,4.082,0,0,0,16,18.182
,Jahan Dotson,PHI,WR,1,3,3,13,0,3,3,13,43,60.563,26,81.25,9.375,2,66.667,5.405,3,4.545
,Josh Jacobs,GB,RB,1,2,2,12,0,2,2,12,27,36,8,30.769,7.692,0,0,0,14,20
,Dontayvion Wicks,GB,WR,1,2,2,12,0,2,2,12,30,40,8,30.769,7.692,2,100,6.452,2,2.857
,D'Andre Swift,CHI,RB,1,2,2,12,0,2,2,12,35,55.556,20,58.824,5.882,0,0,0,15,25
,Xavier Legette,CAR,WR,1,3,1,12,0,3,1,12,35,62.5,25,73.529,8.824,3,100,8.333,3,5.556
,Jerry Jeudy,CLV,WR,1,4,3,12,0,4,3,12,46,67.647,28,84.848,12.121,3,75,8.108,4,6.25
,JuJu Smith-Schuster,KC,WR,1,4,1,12,0,4,1,12,40,86.957,26,92.857,14.286,2,50,6.452,4,9.302
,Tim Patrick,JAX,WR,1,1,1,11,0,1,1,11,18,25.714,9,21.951,2.439,0,0,0,1,1.471
,Cedrick Wilson Jr.,MIA,WR,1,1,1,11,0,1,1,11,31,52.542,12,40,3.333,1,100,3.226,1,1.724
,Andrew Ogletree,IND,TE,1,2,1,11,0,2,1,11,5,8.621,2,5.263,5.263,1,50,2.632,2,3.448
,Dawson Knox,BUF,TE,1,2,1,10,0,2,1,10,32,61.538,11,52.381,9.524,2,100,8.696,2,4
,Omarion Hampton,LAC,RB,1,2,1,10,0,2,1,10,33,50,16,55.172,6.897,1,50,3.03,18,29.032
,KeAndre Lambert-Smith,LAC,WR,1,1,1,10,0,1,1,10,13,19.697,5,17.241,3.448,1,100,3.03,1,1.613
,Michael Mayer,LV,TE,1,3,1,10,0,3,1,10,37,69.811,18,69.231,11.538,3,100,11.538,3,5.66
,Jeremy McNichols,WAS,RB,1,3,2,9,0,3,2,9,11,21.569,10,40,12,0,0,0,4,7.843
,TreVeyon Henderson,NE,RB,1,1,1,9,0,1,1,9,13,17.568,5,10.417,2.083,0,0,0,6,8.451
,Ja'Tavion Sanders,CAR,TE,1,2,2,9,1,2,2,9,30,53.571,22,64.706,5.882,0,0,0,2,3.704
,Javonte Williams,DAL,RB,1,3,2,9,0,3,2,9,33,55.932,22,66.667,9.091,0,0,0,12,21.429
,Breece Hall,NYJ,RB,1,3,2,9,0,3,2,9,39,60.938,22,51.163,6.977,0,0,0,19,30.159
,Gunnar Helm,TEN,TE,1,3,2,9,0,3,2,9,48,67.606,17,56.667,10,1,33.333,3.226,3,4.286
,Lil'Jordan Humphrey,DEN,WR,1,2,1,9,0,2,1,9,13,19.697,8,16.667,4.167,1,50,2.041,2,3.077
,Nick Chubb,HST,RB,1,1,1,9,0,1,1,9,20,32.258,13,37.143,2.857,0,0,0,7,11.475
,De'Von Achane,MIA,RB,1,3,3,9,0,3,3,9,41,69.492,20,66.667,10,0,0,0,18,31.034
,Alec Ingold,MIA,FB,1,1,1,9,0,1,1,9,18,30.508,8,26.667,3.333,0,0,0,1,1.724
,Cedric Tillman,CLV,WR,1,1,1,8,0,1,1,8,31,45.588,17,51.515,3.03,0,0,0,1,1.563
,Aaron Jones,MIN,RB,1,3,2,8,0,3,2,8,38,63.333,15,55.556,11.111,1,33.333,3.448,24,41.379
,Darius Slayton,NYG,WR,1,2,1,8,0,2,1,8,39,79.592,17,94.444,11.111,0,0,0,2,4.167
,Zavier Scott,MIN,RB,1,1,1,8,0,1,1,8,7,11.667,4,14.815,3.704,0,0,0,3,5.172
,Jaylen Warren,PIT,RB,1,2,2,8,0,2,2,8,34,47.222,18,41.86,4.651,1,50,2.222,16,22.857
,Calvin Austin III,PIT,WR,1,1,1,8,0,1,1,8,11,15.278,10,23.256,2.326,1,100,2.222,1,1.429
,Chuba Hubbard,CAR,RB,1,1,1,7,0,1,1,7,22,39.286,13,38.235,2.941,0,0,0,7,12.963
,Oronde Gadsden II,LAC,TE,1,1,1,7,0,1,1,7,35,53.03,19,65.517,3.448,1,100,3.03,1,1.613
,Tyler Johnson,NYJ,WR,1,1,1,7,0,1,1,7,9,14.063,7,16.279,2.326,1,100,2.273,1,1.587
,Tyrone Tracy Jr.,NYG,RB,1,2,2,7,0,2,2,7,32,65.306,12,66.667,11.111,1,50,5.263,18,37.5
,Cade Stover,HST,TE,1,3,2,7,0,3,2,7,31,50,12,34.286,8.571,3,100,8.333,3,4.918
,Jake Tonges,SF,TE,1,2,1,7,0,2,1,7,13,19.403,7,20,5.714,1,50,2.778,2,3.03
,Chris Rodriguez Jr.,WAS,RB,1,1,1,6,0,1,1,6,28,54.902,12,48,4,0,0,0,16,31.373
,DeMario Douglas,NE,WR,1,2,1,6,0,2,1,6,12,16.216,12,25,4.167,0,0,0,,
,Tommy Tremble,CAR,TE,1,1,1,6,0,1,1,6,23,41.071,12,35.294,2.941,1,100,2.778,1,1.852
,Jordan Mason,MIN,RB,1,1,1,6,0,1,1,6,4,6.667,2,7.407,3.704,0,0,0,3,5.172
,Tai Felton,MIN,WR,1,1,1,6,0,1,1,6,1,1.667,1,3.704,3.704,1,100,3.448,,
,Travis Kelce,KC,TE,1,4,1,6,0,4,1,6,33,71.739,24,85.714,14.286,3,75,9.677,4,9.302
,Marquez Valdes-Scantling,PIT,WR,1,3,1,6,0,3,1,6,30,41.667,25,58.14,6.977,3,100,6.667,3,4.286
,Tyler Lockett,LV,WR,1,2,1,6,0,2,1,6,15,28.302,9,34.615,7.692,1,50,3.846,2,3.774
,Ben Sinnott,WAS,TE,1,2,1,5,0,2,1,5,33,64.706,16,64,8,1,50,4,2,3.922
,Foster Moreau,NO,TE,1,1,1,5,0,1,1,5,22,27.5,14,26.415,1.887,0,0,0,1,1.282
,Quintin Morris,JAX,TE,1,1,1,5,0,1,1,5,18,25.714,8,19.512,2.439,0,0,0,1,1.471
,John Metchie III,NYJ,WR,1,5,1,4,0,5,1,4,54,84.375,35,81.395,11.628,2,40,4.545,5,7.937
,Jack Stoll,NO,TE,1,2,1,4,0,2,1,4,22,27.5,11,20.755,3.774,1,50,1.818,2,2.564
,Brashard Smith,KC,RB,1,1,1,4,0,1,1,4,8,17.391,4,14.286,3.571,0,0,0,1,2.326
